Name;Pre-Req;Tier;Power
Spell Fist;Sorcerer;Adventurer;When you miss with spell vs. engaged enemy, add Cha mod to miss damage. Damage increases at each tier.
Spell Fist;Sorcerer;Champion;Once per battle, include an enemy engaged with you in a spell targeting other foes.
Spell Fist;Sorcerer;Epic;Once per day, include all enemies engaged with you as targets of an empowered spell.
Undead Heritage;Sorcerer;Adventurer;Decrease your total recoveries by 1, gain a +2 bonus to death saves.
Undead Heritage;Sorcerer;Champion;Increases your resistance to 16+ and attack bonus vs. undead by +1.
Undead Heritage;Sorcerer;Epic;Gain +1 attack bonus if you cut off hand and put out eye.
Breath of Black;Sorcerer;Epic;On a miss, ongoing damage is now doubled.
Breath of Blue;Sorcerer;Epic;The spell can now target a far away enemy.
Burning Hands;Sorcerer;Adventurer;On a miss, deal fire damage equal to any die that rolled max.
Burning Hands;Sorcerer;Champion;Choose another target for spell when you roll a natural 18+.
Burning Hands;Sorcerer;Epic;Can now target all enemies engaged with you in addition to normal targets.
Calling the Blood;Sorcerer;Epic;Roll two d6s, then choose the roll you want.
Chaos Bolt;Sorcerer;Adventurer;No penalty for attacking a far away enemy.
Chaos Bolt;Sorcerer;Champion;Roll on epic table for chaotic benefit, or choose it, depending on tier.
Echoing Thunder;Sorcerer;Champion;Empowering echoing thunder doubles its aftershock damage.
Lightning Fork;Sorcerer;Adventurer;Once per battle, reroll a lightning fork attack.
Lightning Fork;Sorcerer;Champion;Lightning fork not expended if you miss all targets.
Lightning Fork;Sorcerer;Epic;Recharge roll is now 11+.
Resist Energy;Sorcerer;Adventurer;Add another target with the spell.
Scorching Ray;Sorcerer;Adventurer;You can now target far away enemies, but with a –2 penalty.
Scorching Ray;Sorcerer;Champion;The spell attack can deal random energy damage instead of fire.
Scorching Ray;Sorcerer;Epic;No penalty for attacking a far away enemy.
The Elven Shadows;Sorcerer;Epic;Once per battle, you can instead teleport to a far away location you can see.
Ritual Magic;Wizard;Champion;Can cast full rituals in 1d3 + 1 rounds.
Abjuration;Wizard;Adventurer;Bonus also applies to PD.
Abjuration;Wizard;Champion;Gain 2d12 temp hp when you cast a daily spell.
Abjuration;Wizard;Epic;Bonus also applies to MD.
Cantrip Mastery;Wizard;Adventurer;You can now use cantrip-style versions of any spell you know.
Evocation;Wizard;Champion;When you evoke, reroll one natural attack roll that is less than esc. die.
High Arcana;Wizard;Champion;You can now cast counter-magic twice per battle.
High Arcana;Wizard;Epic;You can cast counter-magic in reaction to any magical action.
Color Spray;Wizard;Adventurer;The weakened effect hp threshold increases by 5 hp.
Color Spray;Wizard;Champion;On a miss, deal damage equal to your level.
Color Spray;Wizard;Epic;The spell now targets 1d3 + 1 creatures.
Confusion;Wizard;Adventurer;You can choose a new miss effect that dazes all missed targets.
Confusion;Wizard;Champion;Each failed save by the target deals 6d10 psychic damage to it.
Confusion;Wizard;Epic;Confused effect now requires a difficult save (16+).
Denial;Wizard;Champion;The target of the spell is also hampered on a natural even miss.
Denial;Wizard;Epic;The spell now targets 1d4 + 1 enemies.
Disintegrate;Wizard;Epic;The spell now targets a far away creature.
Fireball;Wizard;Champion;Target 1d4 enemies instead of 1d3 when you cast the spell recklessly.
Fireball;Wizard;Epic;The spell now targets 1d3 + 1 enemies.
Force Salvo;Wizard;Adventurer;You can now target one creature with bolts until you hit it once.
Force Salvo;Wizard;Champion;On a miss, deal damage equal to level with a bolt.
Force Salvo;Wizard;Epic;Increase the number of bolts by 1.
Hold Monster;Wizard;Adventurer;Regain the spell if you miss all targets with it.
Hold Monster;Wizard;Champion;The spell can now target 2 enemies under the hp limit.
Hold Monster;Wizard;Epic;Increase the hp limit by +50 hp.
Lightning Bolt;Wizard;Champion;Deal 10 ongoing lightning damage on a natural even hit.
Lightning Bolt;Wizard;Epic;Deal 20 ongoing lightning damage (hard save) on a natural even hit.
Magic Missile;Wizard;Adventurer;Now choose two targets for the spell, each getting half damage dice.
Magic Missile;Wizard;Champion;Roll a d20 with the spell to see if you crit.
Magic Missile;Wizard;Epic;Use d8s instead of d4s for damage dice at spell levels 7 and 9.
Meteor Swarm;Wizard;Epic;Damage from each meteor is now 5d4 x 10.
Ray of Frost;Wizard;Adventurer;On a natural even hit, daze the target if it’s staggered.
Ray of Frost;Wizard;Champion;The spell’s target can now be far away.
Ray of Frost;Wizard;Epic;You can have the spell deal lightning or negative energy damage.
Rebuke;Wizard;Adventurer;Deal double your level psychic damage when you roll a natural even hit.
Rebuke;Wizard;Champion;Also daze a target (save ends) you hit with the spell.
Rebuke;Wizard;Epic;Daze a target for a round when you roll a natural even miss.
Shield;Wizard;Adventurer;You choose which attack roll the attacker must use.
Shield;Wizard;Champion;The spell’s recharge roll is now 6+.
Shield;Wizard;Epic;Hit or miss, take only half damage from attack you use shield against.
Shocking Grasp;Wizard;Adventurer;Cast the spell as a quick action now.
Shocking Grasp;Wizard;Champion;Once per battle, you can also daze a target you hit with the spell.
Shocking Grasp;Wizard;Epic;Use d8s instead of d6s for the spell’s damage dice.
Teleport;Wizard;Epic;You can now cast the spell on nearby allies, if allies are close, you can teleport to a location known by an ally.
Teleport Shield;Wizard;Champion;When your teleport shield attack misses, the attack isn’t expended that round.
Teleport Shield;Wizard;Epic;You can now teleport an enemy to a location far away you can see.
Utility Spell;Wizard;Adventurer;Each utility spell slot lets you cast two spells.
Utility Spell;Wizard;Champion;Each utility spell slot lets you cast three spells.
Wizard’s Familiar;Wizard;Adventurer;Familiar gains another ability.
Wizard’s Familiar;Wizard;Champion;Once per level, your familiar can cast one of your expended spells.
Wizard’s Familiar;Wizard;Epic;Familiar gains another ability.
